vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
1GNKRFKD0GJ199452,2016,Chevrolet,Traverse,LS,SUV,Summit White,Dark Titanium/Light Titanium,automatic,15,22,168581,13193,Ancira Nissan,2022-04-01
1G1PE5SB9G7127819,2016,Chevrolet,Cruze Limited,1LT,4D Sedan,Summit White,Jet Black,automatic,26,38,89028,13591,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2022-04-01
3C4PDCAB3FT747009,2015,Dodge,Journey,AVP,4D Sport Utility,Gray,Black,automatic,19,26,86603,13791,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2022-04-01
2G1FE1ED9B9137596,2011,Chevrolet,Camaro,1LS,2dr Car,Black,Black,automatic,17,28,78331,13988,Ancira Chrysler Jeep Dodge Ram,2022-04-01
KL4CJBSB3FB042058,2015,Buick,Encore,Convenience,Sport Utility,Satin Steel Gray Metallic,Ebony,automatic,25,33,100011,13991,Ancira Buick GMC,2022-04-01
1FM5K7B81EGB09475,2014,Ford,Explorer,Base,SUV,Ingot Silver Metallic,Medium Light Stone,automatic,17,24,156514,13991,Ancira Nissan,2022-04-01
3VW2K7AJ9FM403772,2015,Volkswagen,Jetta,2.0L S,4dr Car,Red,Titan Black,automatic,23,34,54652,13991,Ancira Volkswagen of Laredo,2022-04-01
JTDKN3DU9E0384408,2014,Toyota,Prius,Four,Hatchback,Black,Gray,automatic,51,48,139558,13991,Ancira Nissan,2022-04-01
1N4AL3AP6FN347701,2015,Nissan,Altima,2.5 S,Sedan,Saharan Stone,Beige,automatic,27,38,105486,14241,Ancira Nissan,2022-04-01
2C4RDGBG9FR550567,2015,Dodge,Grand Caravan,SE,"Mini-van, Passenger",Brilliant Black Crystal Pearlcoat,Gone,automatic,17,25,94627,14398,Ancira Chrysler Jeep Dodge Ram,2022-04-01
KNDJN2A20G7846373,2016,Kia,Soul,Base,Hatchback,Shadow Black,Gray 2-Tone,automatic,24,30,76695,14491,Ancira Nissan,2022-04-01
KNDJP3A57F7113133,2015,Kia,Soul,+,Hatchback,Solar Yellow,Black,automatic,23,31,55000,14491,Ancira Volkswagen of Laredo,2022-04-01
1GCSCSE02AZ189154,2010,Chevrolet,Silverado 1500,LT Texas Edition,4D Extended Cab,Taupe Gray Metallic,Dark Titanium,automatic,15,21,158902,14491,Ancira Chevy,2022-04-01
5NPD74LF5HH148213,2017,Hyundai,Elantra,SE,4dr Car,Symphony Silver,Gray,automatic,29,38,101764,14591,Ancira Chrysler Jeep Dodge Ram,2022-04-01
2GNALBEK3F6314914,2015,Chevrolet,Equinox,LT,Sport Utility,Summit White,Light Titanium/Jet Black,automatic,22,32,121930,14597,Ancira Chrysler Jeep Dodge Ram,2022-04-01
1G1BC5SM0J7139558,2018,Chevrolet,Cruze,LS,Sedan,Summit White,Jet Black,automatic,29,40,89758,14991,Ancira Nissan,2022-04-01
5UXZV4C51CL750662,2012,BMW,X5,35i Premium,SUV,Space Gray Metallic,Black,automatic,16,23,100899,14991,Ancira Nissan,2022-04-01
1FAHP2J86EG147992,2014,Ford,Taurus,Limited,4D Sedan,Silver,Dune,automatic,18,26,116042,14991,Ancira Chevy,2022-04-01
1FMEU3BEXAUF04193,2010,Ford,Explorer Sport Trac,XLT,4D Sport Utility,Silver,-1,automatic,14,20,112761,14991,Ancira Chevy,2022-04-01
1G1BE5SM4J7123390,2018,Chevrolet,Cruze,LT,4D Sedan,Red Hot,Black,automatic,29,40,67632,14997,Ancira Ford Floresville,2022-04-01
1C4RJEJT1EC252033,2014,Jeep,Grand Cherokee,Summit,Sport Utility,Cashmere Pearlcoat,Brown,automatic,14,22,195861,14998,Ancira Chrysler Jeep Dodge Ram,2022-04-01
