vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
5UXWZ7C3XH0V92368,2017,BMW,X3,sDrive28i,Sports Activity Vehicle,Alpine White,Beige/Black,8-Speed Automatic,21,28,80723,23991,Ancira Chevy,2021-08-28
5N1AT2MV2LC712215,2020,Nissan,Rogue,S,SUV,Gun Metallic,Charcoal,Variable,25,32,27727,23991,Ancira Nissan,2021-08-28
1N6AD0ER2GN774664,2016,Nissan,Frontier,SV,Crew Cab Pickup,Brilliant Silver,Steel,Automatic,16,22,23399,23991,Ancira Nissan,2021-08-28
1C4BJWDG4GL279994,2016,Jeep,Wrangler Unlimited,Sport,Convertible,Bright White Clearcoat,Black,Manual,16,21,142239,23998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
2C3CDXHG1JH125263,2018,Dodge,Charger,SXT Plus,4dr Car,Pitch Black Clearcoat,Black,Automatic,19,30,78025,23998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
2GNAXHEV5L6230168,2020,Chevrolet,Equinox,LS,Sport Utility,Nightfall Gray Metallic,Medium Ash Gray,Automatic,26,31,18990,23999,Ancira Kia,2021-08-28
4JGDA5JB1FA591157,2015,Mercedes-Benz,M-Class,ML 350,4D Sport Utility,Black,Almond Beige/Black,7-Speed Automatic,18,24,87194,24391,Ancira Chevy,2021-08-28
WBXYJ3C39JEJ75605,2018,BMW,X2,sDrive28i,Sports Activity Vehicle,White,Black,Automatic,23,32,65104,24488,Ancira Volkswagen of San Antonio,2021-08-28
2HGFC2F8XLH582488,2020,Honda,Civic,Sport,4D Sedan,Red,Black,CVT,29,37,4260,24491,Ancira Volkswagen of Laredo,2021-08-28
5N1DR2MN1JC631165,2018,Nissan,Pathfinder,SV,4D Sport Utility,Brilliant Silver Metallic,Charcoal,CVT with Xtronic,20,27,53169,24491,Ancira Chevy,2021-08-28
KNMAT2MT6KP522766,2019,Nissan,Rogue,SV,SUV,Caspian Blue Metallic,Charcoal,Variable,26,33,9185,24491,Ancira Nissan,2021-08-28
5N1AT2MTXJC846160,2018,Nissan,Rogue,SL,SUV,Pearl White,Almond,Variable,26,33,35324,24491,Ancira Nissan,2021-08-28
SHHFK7H65KU410950,2019,Honda,Civic Hatchback,EX,Hatchback,Platinum White Pearl,Ivory,Variable,31,40,12737,24691,Ancira Nissan,2021-08-28
JM1NDAD76H0124521,2017,Mazda,Mazda MX-5 Miata,Grand Touring,Convertible,Blue Reflex Mica,Black,Manual,26,33,25981,24892,Ancira Buick GMC,2021-08-28
2C3CDZAG8JH294900,2018,Dodge,Challenger,SXT,2D Coupe,Maximum Steel Metallic Clearcoat,Black,8-Speed Automatic,19,30,38116,24991,Ancira Volkswagen of Laredo,2021-08-28
